7,29,18
14,91,13
93,37,27
79,88,1
18,16,63
95,69,7
88,89,13
79,61,38
94,52,63
100,13,5
36,83,23
98,60,47
28,56,84
57,74,0
71,4,69
33,23,53
58,25,91
34,64,19
34,15,48
32,30,90
32,74,29
11,39,54
48,64,79
71,74,25
15,28,49
60,12,59
45,68,64
10,39,79
13,60,75
38,74,88
15,100,29
45,53,30
5,91,99
17,78,2
42,10,67
11,28,7
52,89,82
96,42,73
36,10,79
35,47,90
93,14,67
93,49,37
46,40,96
17,70,23
67,24,51
40,1,87
53,60,43
43,77,43
60,46,34
72,68,94
29,54,58
67,17,14
82,40,3
46,12,38
10,21,42
97,4,19
4,13,12
79,9,72
32,95,48
0,71,25
43,22,28
49,12,60
45,75,5
70,75,68
78,16,71
86,0,98
72,55,44
88,27,52
48,79,12
31,84,99
85,6,10
33,3,75
13,67,89
62,80,3
89,49,74
85,63,34
44,62,23
66,85,17
50,97,23
29,93,45
50,50,95
21,53,94
87,2,62
73,31,79
88,75,62
66,23,45
96,82,23
10,98,30
89,28,51
20,13,91
80,38,33
28,71,97
21,51,33
78,58,14
45,85,64
8,80,62
63,9,95
91,33,38
59,88,50
35,33,51
